IP,Name,Test_Num,Record,Record_Type,Duration,TTL,Answer_Count,Response
85.19.217.194,USR43-85.19.217.194,0,www.finn.no.,A,32.124996185302734,97,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,feide.no.,A,42.47117042541504,300,1,"13.48.72.176, 13.48.92.235, 13.53.55.80",
85.19.217.194,USR43-85.19.217.194,0,www.dagbladet.no.,A,29.354095458984375,126,1,"104.18.12.138, 104.18.13.138",
85.19.217.194,USR43-85.19.217.194,0,www.altinn.no.,A,31.052827835083008,1444,2,altinn.no. -> 89.250.123.0,
85.19.217.194,USR43-85.19.217.194,0,www.mattilsynet.no.,A,30.809879302978516,3600,2,mattilsynet.no. -> 62.92.17.213,
85.19.217.194,USR43-85.19.217.194,0,www.komplett.no.,A,70.17111778259277,20,1,2.17.161.76,
85.19.217.194,USR43-85.19.217.194,0,www.biltema.no.,A,47.908782958984375,3600,1,82.99.8.100,
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,26.3979434967041,27,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,www.ntnu.no.,A,52.368879318237305,60,2,lvs160vip02.it.ntnu.no. -> 129.241.160.102,
85.19.217.194,USR43-85.19.217.194,0,nrk.no.,A,69.58889961242676,20,1,"91.135.34.26, 91.135.34.18",
85.19.217.194,USR43-85.19.217.194,0,www.aftenbladet.no.,A,34.80887413024902,300,2,"sndcache.vgc.no. -> 195.88.54.37, 195.88.55.37",
85.19.217.194,USR43-85.19.217.194,0,www.uio.no.,A,29.27994728088379,42281,1,129.240.118.130,
85.19.217.194,USR43-85.19.217.194,0,nrk.no.,A,23.51522445678711,18,1,"91.135.34.26, 91.135.34.18",
85.19.217.194,USR43-85.19.217.194,0,www.ving.no.,A,64.24117088317871,3600,1,62.119.80.46,
85.19.217.194,USR43-85.19.217.194,0,www.nrk.no.,A,30.90810775756836,5635,3,"www.nrk.no.edgesuite.net. -> a390.dscr.akamai.net. -> 91.135.34.41, 91.135.34.8",
85.19.217.194,USR43-85.19.217.194,0,www.zalando.no.,A,54.37898635864258,316,3,www.zalando.no.ipv4.edgekey.net. -> e10634.b.akamaiedge.net. -> 2.18.78.71,
85.19.217.194,USR43-85.19.217.194,0,www.uio.no.,A,27.749061584472656,42277,1,129.240.118.130,
85.19.217.194,USR43-85.19.217.194,0,husbanken.no.,A,35.89487075805664,3600,1,109.163.10.84,
85.19.217.194,USR43-85.19.217.194,0,www.bt.no.,A,40.85111618041992,300,2,"sndcache.vgc.no. -> 195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,www.tv2.no.,A,23.427963256835938,2694,1,5.44.65.150,
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,44.851064682006836,480,2,"lb.difi.no. -> 79.170.81.233, 79.170.81.231, 79.170.81.232",
85.19.217.194,USR43-85.19.217.194,0,e24.no.,A,36.50999069213867,600,1,195.88.55.47,
85.19.217.194,USR43-85.19.217.194,0,www.gulesider.no.,A,28.880834579467773,8251,1,80.69.225.63,
85.19.217.194,USR43-85.19.217.194,0,finn.no.,A,48.25401306152344,300,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,www.nrk.no.,A,24.564027786254883,5628,3,"www.nrk.no.edgesuite.net. -> a390.dscr.akamai.net. -> 91.135.34.8, 91.135.34.41",
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,36.45801544189453,163,2,"sndcache.vgc.no. -> 195.88.54.37, 195.88.55.37",
85.19.217.194,USR43-85.19.217.194,0,www.banenor.no.,A,33.68687629699707,300,1,185.48.152.66,
85.19.217.194,USR43-85.19.217.194,0,cache-6.dn.no.,A,37.42814064025879,-1,-1,NXDOMAIN,
85.19.217.194,USR43-85.19.217.194,0,tv2.no.,A,41.043996810913086,10800,1,5.44.65.150,
85.19.217.194,USR43-85.19.217.194,0,www.nav.no.,A,42.9379940032959,600,1,155.55.150.1,
85.19.217.194,USR43-85.19.217.194,0,www.footway.no.,A,38.253068923950195,60,1,"52.209.134.145, 3.248.104.254, 52.50.16.3",
85.19.217.194,USR43-85.19.217.194,0,www.gamer.no.,A,37.652015686035156,3600,2,"gamer.no. -> 87.238.60.136, 87.238.60.135",
85.19.217.194,USR43-85.19.217.194,0,finn.no.,A,24.580001831054688,293,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,24.676084518432617,9,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,www.lovdata.no.,A,32.20701217651367,300,1,146.192.246.146,
85.19.217.194,USR43-85.19.217.194,0,sandnes.kommune.no.,A,76.18379592895508,600,1,91.247.74.250,
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,28.028011322021484,155,2,"sndcache.vgc.no. -> 195.88.54.37, 195.88.55.37",
85.19.217.194,USR43-85.19.217.194,0,www.fsweb.no.,A,32.57298469543457,86400,2,fsweb.no. -> 129.240.118.183,
85.19.217.194,USR43-85.19.217.194,0,uib.no.,A,39.83616828918457,86400,1,129.177.6.11,
85.19.217.194,USR43-85.19.217.194,0,www.tv2.no.,A,24.996042251586914,2680,1,5.44.65.150,
85.19.217.194,USR43-85.19.217.194,0,www.finn.no.,A,25.516033172607422,68,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,www.uib.no.,A,83.06193351745605,71826,3,ita-prod-w3-tm.trafficmanager.net. -> ita-prod-w3.northeurope.cloudapp.azure.com. -> 23.101.60.163,
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,26.635169982910156,465,2,"lb.difi.no. -> 79.170.81.233, 79.170.81.231, 79.170.81.232",
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,20.798921585083008,150,2,"sndcache.vgc.no. -> 195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,23.223876953125,0,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,www.adressa.no.,A,42.253971099853516,3600,1,193.161.16.50,
85.19.217.194,USR43-85.19.217.194,0,static.feide.no.,A,30.796051025390625,-1,-1,NXDOMAIN,
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,23.21910858154297,147,2,"sndcache.vgc.no. -> 195.88.54.37, 195.88.55.37",
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,49.58605766296387,300,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,google.no.,A,47.07217216491699,300,1,216.58.211.3,
85.19.217.194,USR43-85.19.217.194,0,www.gulesider.no.,A,23.26798439025879,8231,1,80.69.225.63,
85.19.217.194,USR43-85.19.217.194,0,www.dagbladet.no.,A,28.142929077148438,91,1,"104.18.12.138, 104.18.13.138",
85.19.217.194,USR43-85.19.217.194,0,www.adressa.no.,A,21.559953689575195,3594,1,193.161.16.50,
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,23.4220027923584,297,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,yr.no.,A,67.14391708374023,20,1,"91.135.34.25, 91.135.34.26",
85.19.217.194,USR43-85.19.217.194,0,www.elkjop.no.,A,79.21385765075684,900,3,www.elkjop.no.edgekey.net. -> e5041.dsca.akamaiedge.net. -> 2.17.160.161,
85.19.217.194,USR43-85.19.217.194,0,www.yr.no.,A,30.804872512817383,309,3,"www.yr.no.edgesuite.net. -> a1949.dscr.akamai.net. -> 91.135.34.27, 91.135.34.34",
85.19.217.194,USR43-85.19.217.194,0,dagbladet.no.,A,33.863067626953125,300,1,"104.18.12.138, 104.18.13.138",
85.19.217.194,USR43-85.19.217.194,0,www.kvinneguiden.no.,A,45.526981353759766,299,1,"104.27.140.110, 104.27.141.110",
85.19.217.194,USR43-85.19.217.194,0,www.nordea.no.,A,1096.7018604278564,600,3,nordea-kdd-prod-wem.edgekey.net. -> e13059.g.akamaiedge.net. -> 104.94.104.111,
85.19.217.194,USR43-85.19.217.194,0,www.nordea.no.,A,3680.893898010254,600,3,nordea-kdd-prod-wem.edgekey.net. -> e13059.g.akamaiedge.net. -> 104.94.104.111,
85.19.217.194,USR43-85.19.217.194,0,www.uib.no.,A,51.386117935180664,71810,3,ita-prod-w3-tm.trafficmanager.net. -> ita-prod-w3.northeurope.cloudapp.azure.com. -> 23.101.60.163,
85.19.217.194,USR43-85.19.217.194,0,nrk.no.,A,64.51106071472168,20,1,"91.135.34.18, 91.135.34.26",
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,24.84607696533203,135,2,"sndcache.vgc.no. -> 195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,www.uib.no.,A,22.150039672851562,71808,3,ita-prod-w3-tm.trafficmanager.net. -> ita-prod-w3.northeurope.cloudapp.azure.com. -> 23.101.60.163,
85.19.217.194,USR43-85.19.217.194,0,www.finn.no.,A,23.854970932006836,50,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,babyshop.no.,A,37.120819091796875,300,1,"104.17.28.93, 104.17.29.93",
85.19.217.194,USR43-85.19.217.194,0,dplay.no.,A,42.04106330871582,60,1,"63.33.79.153, 52.208.163.248, 63.33.80.226",
85.19.217.194,USR43-85.19.217.194,0,feide.no.,A,21.697998046875,252,1,"13.48.72.176, 13.48.92.235, 13.53.55.80",
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,23.705005645751953,445,2,"lb.difi.no. -> 79.170.81.231, 79.170.81.232, 79.170.81.233",
85.19.217.194,USR43-85.19.217.194,0,elkjop.no.,A,50.045013427734375,900,1,31.47.202.130,
85.19.217.194,USR43-85.19.217.194,0,www.adressa.no.,A,23.106098175048828,3581,1,193.161.16.50,
85.19.217.194,USR43-85.19.217.194,0,www.nrk.no.,A,31.18109703063965,5593,3,"www.nrk.no.edgesuite.net. -> a390.dscr.akamai.net. -> 91.135.34.8, 91.135.34.41",
85.19.217.194,USR43-85.19.217.194,0,www.dn.no.,A,32.241106033325195,60,2,dn.no. -> 87.238.33.145,
85.19.217.194,USR43-85.19.217.194,0,www.viaplay.no.,A,41.50819778442383,60,1,"52.84.136.22, 52.84.136.33, 52.84.136.45, 52.84.136.47",
85.19.217.194,USR43-85.19.217.194,0,dplay.no.,A,26.115894317626953,55,1,"63.33.79.153, 52.208.163.248, 63.33.80.226",
85.19.217.194,USR43-85.19.217.194,0,www.e24.no.,A,33.60390663146973,600,2,e24.no. -> 195.88.55.47,
85.19.217.194,USR43-85.19.217.194,0,nettavisen.no.,A,43.78390312194824,300,1,185.57.253.180,
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,22.403955459594727,279,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,static.dvb.no.,A,46.04816436767578,-1,-1,NXDOMAIN,
85.19.217.194,USR43-85.19.217.194,0,abcnyheter.no.,A,44.12579536437988,300,1,"87.238.33.153, 87.238.33.154",
85.19.217.194,USR43-85.19.217.194,0,bt.no.,A,32.48190879821777,300,1,"195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,gamer.no.,A,28.656959533691406,263,1,"87.238.60.136, 87.238.60.135",
85.19.217.194,USR43-85.19.217.194,0,www.gyldendal.no.,A,31.965017318725586,3600,1,88.151.167.196,
85.19.217.194,USR43-85.19.217.194,0,www.shareville.no.,A,42.552947998046875,340,1,107.178.245.185,
85.19.217.194,USR43-85.19.217.194,0,www.sol.no.,A,33.139944076538086,300,1,"104.22.60.115, 104.22.61.115",
85.19.217.194,USR43-85.19.217.194,0,www.udir.no.,A,55.51290512084961,300,1,195.254.217.220,
85.19.217.194,USR43-85.19.217.194,0,www.komplett.no.,A,63.217878341674805,20,1,2.17.161.76,
85.19.217.194,USR43-85.19.217.194,0,www.yr.no.,A,29.758930206298828,288,3,"www.yr.no.edgesuite.net. -> a1949.dscr.akamai.net. -> 91.135.34.16, 91.135.34.17, 91.135.34.41",
85.19.217.194,USR43-85.19.217.194,0,dvb.no.,A,37.83011436462402,300,1,"104.27.157.111, 104.27.156.111",
85.19.217.194,USR43-85.19.217.194,0,komplett.no.,A,81.23493194580078,20,1,2.17.161.76,
85.19.217.194,USR43-85.19.217.194,0,difi.no.,A,38.59686851501465,3600,1,"79.170.81.231, 79.170.81.233, 79.170.81.232",
85.19.217.194,USR43-85.19.217.194,0,www.tek.no.,A,47.888994216918945,60,1,"52.84.136.112, 52.84.136.13, 52.84.136.32, 52.84.136.126",
85.19.217.194,USR43-85.19.217.194,0,www.jakoblind.no.,A,63.17615509033203,3600,2,objective-cray-49fc1c.netlify.com. -> 142.93.108.123,
85.19.217.194,USR43-85.19.217.194,0,nrk.no.,A,27.841806411743164,0,1,"91.135.34.18, 91.135.34.26",
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,26.33500099182129,115,2,"sndcache.vgc.no. -> 195.88.54.37, 195.88.55.37",
85.19.217.194,USR43-85.19.217.194,0,www.zalando.no.,A,52.88505554199219,260,3,www.zalando.no.ipv4.edgekey.net. -> e10634.b.akamaiedge.net. -> 2.18.78.71,
85.19.217.194,USR43-85.19.217.194,0,viaplay.no.,A,40.8937931060791,60,1,"52.84.136.45, 52.84.136.22, 52.84.136.33, 52.84.136.47",
85.19.217.194,USR43-85.19.217.194,0,cache-3.e24.no.,A,37.867069244384766,-1,-1,NXDOMAIN,
85.19.217.194,USR43-85.19.217.194,0,www.portalbank.no.,A,51.47194862365723,300,1,62.243.7.139,
85.19.217.194,USR43-85.19.217.194,0,ntnu.no.,A,43.79010200500488,600,1,129.241.160.102,
85.19.217.194,USR43-85.19.217.194,0,www.dnb.no.,A,32.18507766723633,7148,3,www.dnb.no.edgekey.net. -> e747.b.akamaiedge.net. -> 2.19.116.208,
85.19.217.194,USR43-85.19.217.194,0,www.e24.no.,A,25.085926055908203,585,2,e24.no. -> 195.88.55.47,
85.19.217.194,USR43-85.19.217.194,0,cache-10.tek.no.,A,45.98212242126465,60,1,"52.48.198.160, 52.17.125.147, 52.48.8.127",
85.19.217.194,USR43-85.19.217.194,0,google.no.,A,23.287057876586914,265,1,216.58.211.3,
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,28.293132781982422,423,2,"lb.difi.no. -> 79.170.81.232, 79.170.81.233, 79.170.81.231",
85.19.217.194,USR43-85.19.217.194,0,www.hybel.no.,A,32.06515312194824,600,1,165.22.28.247,
85.19.217.194,USR43-85.19.217.194,0,www.telenor.no.,A,44.4340705871582,300,1,153.110.156.145,
85.19.217.194,USR43-85.19.217.194,0,www.dagbladet.no.,A,22.19700813293457,55,1,"104.18.13.138, 104.18.12.138",
85.19.217.194,USR43-85.19.217.194,0,minmote.no.,A,33.28514099121094,600,1,195.88.54.32,
85.19.217.194,USR43-85.19.217.194,0,www.nav.no.,A,23.55790138244629,547,1,155.55.150.1,
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,25.283098220825195,106,2,"sndcache.vgc.no. -> 195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,24.990081787109375,419,2,"lb.difi.no. -> 79.170.81.233, 79.170.81.231, 79.170.81.232",
85.19.217.194,USR43-85.19.217.194,0,www.vg.no.,A,32.861948013305664,285,1,"195.88.54.16, 195.88.55.16",
85.19.217.194,USR43-85.19.217.194,0,feide.no.,A,23.42700958251953,224,1,"13.48.92.235, 13.53.55.80, 13.48.72.176",
85.19.217.194,USR43-85.19.217.194,0,vg.no.,A,39.83187675476074,300,1,"195.88.54.16, 195.88.55.16",
85.19.217.194,USR43-85.19.217.194,0,www.frolendingen.no.,A,60.18400192260742,600,2,frolendingen.no. -> 95.216.30.118,
85.19.217.194,USR43-85.19.217.194,0,www.finn.no.,A,27.302980422973633,18,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,samordnaopptak.no.,A,35.405874252319336,300,1,129.240.118.130,
85.19.217.194,USR43-85.19.217.194,0,bavisa.no.,A,64.59307670593262,43200,1,185.12.56.134,
85.19.217.194,USR43-85.19.217.194,0,www.meny.no.,A,70.5108642578125,300,2,prod-kjedesider-gw.northeurope.cloudapp.azure.com. -> 40.69.93.161,
85.19.217.194,USR43-85.19.217.194,0,xxl.no.,A,39.64996337890625,2400,1,143.204.47.46,
85.19.217.194,USR43-85.19.217.194,0,www.nordea.no.,A,32.510995864868164,558,3,nordea-kdd-prod-wem.edgekey.net. -> e13059.g.akamaiedge.net. -> 104.94.104.111,
85.19.217.194,USR43-85.19.217.194,0,dustin.no.,A,52.71315574645996,3600,1,194.132.19.237,
85.19.217.194,USR43-85.19.217.194,0,www.nettavisen.no.,A,42.39511489868164,300,1,185.57.253.180,
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,25.03204345703125,410,2,"lb.difi.no. -> 79.170.81.231, 79.170.81.232, 79.170.81.233",
85.19.217.194,USR43-85.19.217.194,0,abcnyheter.no.,A,21.826982498168945,271,1,"87.238.33.153, 87.238.33.154",
85.19.217.194,USR43-85.19.217.194,0,static.tek.no.,A,38.12599182128906,60,1,"52.48.198.160, 52.17.125.147, 52.48.8.127",
85.19.217.194,USR43-85.19.217.194,0,www.uio.no.,A,26.422977447509766,42202,1,129.240.118.130,
85.19.217.194,USR43-85.19.217.194,0,www.aftenposten.no.,A,27.093887329101562,93,2,"sndcache.vgc.no. -> 195.88.54.37, 195.88.55.37",
85.19.217.194,USR43-85.19.217.194,0,www.vgtv.no.,A,36.59391403198242,600,2,vgtv.no. -> 195.88.55.26,
85.19.217.194,USR43-85.19.217.194,0,cache-5.e24.no.,A,38.17391395568848,-1,-1,NXDOMAIN,
85.19.217.194,USR43-85.19.217.194,0,static.udir.no.,A,36.40890121459961,-1,-1,NXDOMAIN,
85.19.217.194,USR43-85.19.217.194,0,www.finn.no.,A,21.68107032775879,7,1,152.90.94.9,
85.19.217.194,USR43-85.19.217.194,0,www.aftenbladet.no.,A,27.019023895263672,217,2,"sndcache.vgc.no. -> 195.88.55.37, 195.88.54.37",
85.19.217.194,USR43-85.19.217.194,0,www.dagbladet.no.,A,22.927045822143555,37,1,"104.18.12.138, 104.18.13.138",
85.19.217.194,USR43-85.19.217.194,0,nrk.no.,A,72.21102714538574,20,1,"91.135.34.18, 91.135.34.26",
85.19.217.194,USR43-85.19.217.194,0,elkjop.no.,A,25.18606185913086,859,1,31.47.202.130,
85.19.217.194,USR43-85.19.217.194,0,www.difi.no.,A,24.49798583984375,402,2,"lb.difi.no. -> 79.170.81.232, 79.170.81.233, 79.170.81.231",
85.19.217.194,USR43-85.19.217.194,0,cache-10.dagbladet.no.,A,35.15005111694336,-1,-1,NXDOMAIN,
85.19.217.194,USR43-85.19.217.194,0,vektklubb.no.,A,47.013044357299805,60,1,"13.33.54.82, 13.33.54.81, 13.33.54.47, 13.33.54.66",
85.19.217.194,USR43-85.19.217.194,0,www.klikk.no.,A,40.376901626586914,300,1,"104.31.13.168, 104.31.12.168",
85.19.217.194,USR43-85.19.217.194,0,www.google.no.,A,22.93682098388672,239,1,216.58.211.131,
85.19.217.194,USR43-85.19.217.194,0,www.tv2.no.,A,23.347854614257812,2612,1,5.44.65.150,
85.19.217.194,USR43-85.19.217.194,0,www.ntnu.no.,A,38.11287879943848,60,2,lvs160vip02.it.ntnu.no. -> 129.241.160.102,
85.19.217.194,USR43-85.19.217.194,0,www.ntnu.no.,A,23.614883422851562,60,2,lvs160vip02.it.ntnu.no. -> 129.241.160.102,
85.19.217.194,USR43-85.19.217.194,0,startsiden.no.,A,22.454023361206055,27,1,"87.238.33.153, 87.238.33.154",
85.19.217.194,USR43-85.19.217.194,0,yr.no.,A,64.60404396057129,20,1,"91.135.34.25, 91.135.34.26",
85.19.217.194,USR43-85.19.217.194,0,www.vg.no.,A,36.6520881652832,263,1,"195.88.55.16, 195.88.54.16",
85.19.217.194,USR43-85.19.217.194,0,www.feide.no.,A,46.797990798950195,300,2,nymedia-web.uninett.no. -> 52.211.32.98,
85.19.217.194,USR43-85.19.217.194,0,www.3dsecure.no.,A,263.06796073913574,300,1,185.134.245.113,
85.19.217.194,USR43-85.19.217.194,0,www.feide.no.,A,28.851032257080078,299,2,nymedia-web.uninett.no. -> 52.211.32.98,
85.19.217.194,USR43-85.19.217.194,0,www.aftenbladet.no.,A,22.029876708984375,206,2,"sndcache.vgc.no. -> 195.88.54.37, 195.88.55.37",
85.19.217.194,USR43-85.19.217.194,0,ntnu.no.,A,22.28522300720215,568,1,129.241.160.102,
85.19.217.194,USR43-85.19.217.194,0,feide.no.,A,22.262096405029297,199,1,"13.53.55.80, 13.48.72.176, 13.48.92.235",
85.19.217.194,USR43-85.19.217.194,0,www.adressa.no.,A,24.448156356811523,3529,1,193.161.16.50,
